// x, y, n_BG, n_sig0, n_sig1, n_sig2, n_sig3 
700, 1400, 1.17163e+08, 4170.72, 164.655, 2077.02, 78.4048;
700, 1500, 8.91282e+07, 3556.78, 149.094, 1777.1, 69.6186;
700, 1600, 6.89501e+07, 3052.32, 133.267, 1533.46, 63.395;
700, 1700, 5.27461e+07, 2647.12, 119.169, 1319.24, 56.5613;
700, 1800, 4.0904e+07, 2276.71, 106.8, 1141.46, 51.8631;
700, 1900, 3.26154e+07, 1983.04, 96.2925, 988.629, 46.2497;
700, 2000, 2.55165e+07, 1702.67, 86.8495, 847.944, 41.8566;
700, 2100, 2.04233e+07, 1482.67, 79.6674, 740.512, 37.8296;
700, 2200, 1.66208e+07, 1286.21, 71.1554, 646.509, 34.5347;
700, 2300, 1.3729e+07, 1137.84, 64.9043, 550.588, 30.9348;
700, 2400, 1.11263e+07, 1001.75, 59.5843, 498.791, 27.701;
700, 2500, 9.2521e+06, 883.056, 55.7273, 441.238, 24.5892;
700, 2600, 7.82991e+06, 780.732, 50.9393, 391.359, 21.9656;
700, 2700, 6.5436e+06, 689.663, 46.5502, 340.84, 20.0131;
700, 2800, 5.49095e+06, 613.944, 41.4962, 296.716, 18.5487;
700, 2900, 4.61806e+06, 540.27, 37.2402, 264.103, 17.0233;
700, 3000, 3.98148e+06, 499.341, 33.7822, 235.966, 15.925;
700, 3100, 3.43418e+06, 450.225, 30.4572, 209.108, 14.8267;
700, 3200, 2.98629e+06, 392.924, 27.5311, 186.087, 13.8505;
700, 3300, 2.64829e+06, 349.948, 25.0041, 166.903, 12.3861;
700, 3400, 2.32458e+06, 316.181, 22.8761, 147.079, 11.4099;
700, 3500, 1.9791e+06, 287.53, 20.8811, 133.65, 10.4336;
700, 3600, 1.69559e+06, 261.949, 19.2851, 122.14, 9.39637;
700, 3700, 1.46916e+06, 236.368, 17.9551, 113.827, 8.66419;
700, 3800, 1.27717e+06, 206.694, 16.6251, 103.595, 8.2981;
700, 3900, 1.08949e+06, 181.113, 15.4281, 88.887, 7.56591;
700, 4000, 956617, 166.788, 14.7631, 81.2133, 7.07779;
800, 100, 2.05672e+10, 11553.4, 299.651, 5754.64, 145.827;
800, 200, 1.15729e+10, 11484.8, 299.119, 5721.38, 145.4;
800, 300, 7.0412e+09, 11387.6, 298.055, 5672.78, 144.79;
800, 400, 4.50451e+09, 11223.9, 296.193, 5584.54, 143.691;
800, 500, 2.96558e+09, 10994.7, 293.001, 5456.64, 142.898;
800, 600, 2.00173e+09, 10663.2, 287.814, 5316.6, 140.824;
800, 700, 1.35559e+09, 10182.3, 279.434, 5101.09, 137.407;
800, 800, 9.26838e+08, 9503.85, 267.863, 4759.61, 131.732;
800, 900, 6.3597e+08, 8524.61, 249.509, 4263.38, 122.702;
800, 1000, 4.33248e+08, 7486.02, 230.623, 3740.29, 113.184;
800, 1100, 3.05187e+08, 6466.87, 209.742, 3234.47, 102.262;
800, 1200, 2.21951e+08, 5556.19, 192.984, 2783, 92.4994;
800, 1300, 1.56385e+08, 4787.74, 177.29, 2386.52, 84.3843;
800, 1400, 1.16566e+08, 4097.05, 161.862, 2035.45, 77.1235;
800, 1500, 8.87719e+07, 3517.9, 146.833, 1753.44, 68.9474;
800, 1600, 6.87638e+07, 3027.77, 131.937, 1521.31, 62.9679;
800, 1700, 5.259e+07, 2633.82, 118.504, 1312.2, 56.3782;
800, 1800, 4.08471e+07, 2269.55, 106.534, 1136.35, 51.6801;
800, 1900, 3.25687e+07, 1979.97, 96.1595, 984.792, 46.1277;
800, 2000, 2.54697e+07, 1700.62, 86.7165, 845.386, 41.7956;
800, 2100, 2.03765e+07, 1481.65, 79.5344, 739.873, 37.8296;
800, 2200, 1.65741e+07, 1286.21, 71.0224, 645.87, 34.5347;
800, 2300, 1.36885e+07, 1137.84, 64.7713, 550.588, 30.9348;
800, 2400, 1.11263e+07, 1001.75, 59.4513, 498.791, 27.701;
800, 2500, 9.2521e+06, 883.056, 55.5943, 441.238, 24.5892;
800, 2600, 7.82991e+06, 780.732, 50.9393, 391.359, 21.9656;
800, 2700, 6.5436e+06, 689.663, 46.5502, 340.84, 20.0131;
800, 2800, 5.49095e+06, 613.944, 41.4962, 296.716, 18.5487;
800, 2900, 4.61806e+06, 540.27, 37.2402, 264.103, 17.0233;
800, 3000, 3.98148e+06, 499.341, 33.7822, 235.966, 15.925;
800, 3100, 3.43418e+06, 450.225, 30.4572, 209.108, 14.8267;
800, 3200, 2.98629e+06, 392.924, 27.5311, 186.087, 13.8505;
800, 3300, 2.64829e+06, 349.948, 25.0041, 166.903, 12.3861;
800, 3400, 2.32458e+06, 316.181, 22.8761, 147.079, 11.4099;
800, 3500, 1.9791e+06, 287.53, 20.8811, 133.65, 10.4336;
800, 3600, 1.69559e+06, 261.949, 19.2851, 122.14, 9.39637;
800, 3700, 1.46916e+06, 236.368, 17.9551, 113.827, 8.66419;
800, 3800, 1.27717e+06, 206.694, 16.6251, 103.595, 8.2981;
800, 3900, 1.08949e+06, 181.113, 15.4281, 88.887, 7.56591;
800, 4000, 956617, 166.788, 14.7631, 81.2133, 7.07779;
900, 100, 1.50824e+10, 9380.04, 261.479, 4693.75, 127.217;
900, 200, 8.78379e+09, 9333.99, 261.08, 4673.28, 126.79;
900, 300, 5.49613e+09, 9261.34, 260.548, 4641.95, 126.241;
900, 400, 3.6293e+09, 9159.02, 259.085, 4584.4, 125.387;
900, 500, 2.44783e+09, 9012.69, 256.824, 4499.35, 124.899;
900, 600, 1.69089e+09, 8810.09, 252.967, 4411.1, 123.373;
900, 700, 1.18866e+09, 8528.7, 248.578, 4283.2, 121.482;
900, 800, 8.41028e+08, 8137.82, 242.327, 4100.95, 118.431;
900, 900, 5.9906e+08, 7630.3, 232.751, 3829.18, 113.428;
900, 1000, 4.15397e+08, 6903.8, 219.584, 3460.84, 105.862;
900, 1100, 2.97002e+08, 6085.2, 202.56, 3055.41, 97.1976;
900, 1200, 2.17988e+08, 5305.5, 187.664, 2656.38, 88.5944;
900, 1300, 1.54346e+08, 4629.14, 173.034, 2300.83, 81.6386;
900, 1400, 1.1546e+08, 3992.68, 158.537, 1979.18, 75.171;
900, 1500, 8.80628e+07, 3453.43, 144.439, 1716.99, 67.5441;
900, 1600, 6.83952e+07, 2994, 130.74, 1499.57, 61.6866;
900, 1700, 5.2423e+07, 2612.33, 117.839, 1303.25, 55.6461;
900, 1800, 4.07205e+07, 2256.24, 106.002, 1130.59, 51.1919;
900, 1900, 3.25355e+07, 1970.76, 95.7605, 981.594, 45.8836;
900, 2000, 2.5456e+07, 1693.46, 86.4505, 842.828, 41.5515;
900, 2100, 2.03755e+07, 1478.58, 79.2684, 737.954, 37.6465;
900, 2200, 1.65735e+07, 1284.17, 70.7564, 644.591, 34.3517;
900, 2300, 1.3688e+07, 1135.8, 64.6383, 550.588, 30.7518;
900, 2400, 1.11258e+07, 1000.73, 59.4513, 498.791, 27.64;
900, 2500, 9.2521e+06, 882.032, 55.5943, 441.238, 24.5282;
900, 2600, 7.82991e+06, 780.732, 50.9393, 391.359, 21.9656;
900, 2700, 6.5436e+06, 689.663, 46.5502, 340.84, 20.0131;
900, 2800, 5.49095e+06, 613.944, 41.4962, 296.716, 18.5487;
900, 2900, 4.61806e+06, 540.27, 37.2402, 264.103, 17.0233;
900, 3000, 3.98148e+06, 499.341, 33.7822, 235.966, 15.925;
900, 3100, 3.43418e+06, 450.225, 30.4572, 209.108, 14.8267;
900, 3200, 2.98629e+06, 392.924, 27.5311, 186.087, 13.8505;
900, 3300, 2.64829e+06, 349.948, 25.0041, 166.903, 12.3861;
900, 3400, 2.32458e+06, 316.181, 22.8761, 147.079, 11.4099;
900, 3500, 1.9791e+06, 287.53, 20.8811, 133.65, 10.4336;
900, 3600, 1.69559e+06, 261.949, 19.2851, 122.14, 9.39637;
900, 3700, 1.46916e+06, 236.368, 17.9551, 113.827, 8.66419;
900, 3800, 1.27717e+06, 206.694, 16.6251, 103.595, 8.2981;
900, 3900, 1.08949e+06, 181.113, 15.4281, 88.887, 7.56591;
900, 4000, 956617, 166.788, 14.7631, 81.2133, 7.07779;
1000, 100, 1.12564e+10, 7741.83, 229.958, 3870.74, 110.499;
