// Wino with mass 3 TeV 
// leading jet pt, n_BG, n_sig, significance 
2005, 165.521, 0.3154, 0.0245152;
2015, 160.982, 0.186967, 0.0147359;
2025, 159.267, 0.10004, 0.00792702;
2035, 151.177, 0.120253, 0.00978034;
2045, 152.034, 0, 0;
2055, 147.075, 1.88832, 0.155707;
2065, 139.605, 0.024277, 0.00205468;
2075, 146.236, 0.0394486, 0.00326216;
2085, 139.464, 0.035987, 0.00304729;
2095, 136.503, 0.943066, 0.080718;
2105, 131.644, 0.360984, 0.0314621;
2115, 133.649, 0.0591868, 0.00511967;
2125, 127.268, 0.574067, 0.0508866;
2135, 126.476, 3.38553, 0.301038;
2145, 124.936, 0.0342994, 0.00306861;
2155, 115.356, 0.207139, 0.0192859;
2165, 110.599, 0.293962, 0.0279522;
2175, 119.707, 0.0767477, 0.00701463;
2185, 109.688, 1.04773, 0.100039;
2195, 107.339, 0, 0;
2205, 104.097, 0.254832, 0.0249767;
2215, 108.678, 0.0395193, 0.00379087;
2225, 98.0873, 0.574034, 0.0579604;
2235, 107.612, 1.42652, 0.137514;
2245, 95.4688, 0.0756452, 0.00774196;
2255, 100.126, 0, 0;
2265, 89.2367, 0.939631, 0.0994685;
2275, 94.3588, 1.35782, 0.139782;
2285, 89.9251, 0.132993, 0.0140245;
2295, 85.3837, 0.431122, 0.0466565;
2305, 79.1865, 0.604778, 0.0679627;
2315, 79.5025, 0.621206, 0.06967;
2325, 83.7787, 0.00389267, 0.000425285;
2335, 79.9038, 0.013809, 0.00154482;
2345, 86.7065, 0.383404, 0.0411747;
2355, 76.8551, 0, 0;
2365, 74.1215, 0.182046, 0.0211451;
2375, 74.2716, 0.179599, 0.0208397;
2385, 71.4799, 0.334738, 0.0395925;
2395, 74.2379, 0.075829, 0.00880081;
2405, 69.4777, 0.292604, 0.0351041;
2415, 69.267, 0.123808, 0.014876;
2425, 66.4017, 0.0265233, 0.0032549;
2435, 65.07, 0.342609, 0.0424726;
2445, 58.3969, 0.916685, 0.119957;
2455, 174.001, 1.38993, 0.10537;
2465, 60.7102, 1.6247, 0.208518;
2475, 63.1379, 0.0058516, 0.000736427;
2485, 59.761, 0.012177, 0.00157519;
2495, 60.463, 0.051505, 0.00662376;
2505, 57.5142, 0.0774597, 0.0102138;
2515, 58.4252, 0.0607811, 0.00795186;
2525, 55.7641, 0.0232579, 0.00311454;
2535, 55.2973, 0.13901, 0.0186936;
2545, 49.1377, 0.515438, 0.0735308;
2555, 51.5241, 0.0342547, 0.00477216;
2565, 54.4821, 0.0492456, 0.00667176;
2575, 48.406, 0, 0;
2585, 48.6787, 0.0261771, 0.00375191;
2595, 49.4533, 0.0538694, 0.00766028;
2605, 46.9765, 2.23859, 0.326614;
2615, 46.6423, 0.116176, 0.0170108;
2625, 46.9858, 0, 0;
2635, 43.7876, 0.0919244, 0.0138917;
2645, 44.1907, 0, 0;
2655, 42.1763, 0.0506039, 0.00779202;
2665, 42.6205, 0, 0;
2675, 41.8204, 0.0694256, 0.0107356;
2685, 38.1114, 0.000744233, 0.000120554;
2695, 39.9956, 0.0222683, 0.00352113;
2705, 37.3799, 0, 0;
2715, 39.001, 0.0960467, 0.0153796;
2725, 36.9994, 0, 0;
2735, 37.5555, 2.27284e-06, 3.70879e-07;
2745, 41.888, 0.0106927, 0.00165212;
2755, 37.1563, 0.286634, 0.0470232;
2765, 36.5753, 0.258218, 0.0426965;
2775, 35.276, 1.90212, 0.320257;
2785, 33.6209, 0.349347, 0.0602494;
2795, 33.7392, 0.0630522, 0.0108551;
2805, 31.8031, 0.180487, 0.0320045;
2815, 32.5994, 0.111819, 0.0195845;
2825, 30.9891, 2.10387, 0.377933;
2835, 32.2109, 0.0507372, 0.00893976;
2845, 31.7042, 0.177353, 0.0314978;
2855, 30.6122, 0.30224, 0.0546267;
2865, 29.6934, 0.225238, 0.0413345;
2875, 28.234, 0.0770363, 0.014498;
2885, 28.7275, 0, 0;
2895, 27.817, 0, 0;
2905, 28.4504, 0, 0;
2915, 26.8053, 0, 0;
2925, 25.4376, 0, 0;
2935, 27.1143, 0.941851, 0.180877;
2945, 28.5737, 0.0316307, 0.00591733;
2955, 24.8121, 0.00180962, 0.000363293;
2965, 25.2452, 0, 0;
2975, 24.6735, 3.09734, 0.623553;
2985, 24.6803, 0, 0;
2995, 24.1601, 0.18801, 0.0382501;
3005, 24.3398, 0, 0;
3015, 23.4063, 0, 0;
3025, 22.4172, 0, 0;
3035, 21.8203, 0.0359075, 0.00768697;
3045, 22.8549, 0.228341, 0.0477631;
3055, 21.6258, 0, 0;
3065, 21.128, 0, 0;
3075, 20.8979, 0, 0;
3085, 21.9937, 0.450582, 0.0960781;
3095, 20.5733, 0, 0;
3105, 20.5073, 0, 0;
3115, 19.871, 0.359415, 0.080628;
3125, 19.763, 0.509209, 0.114543;
3135, 18.2277, 0.00407028, 0.000953364;
3145, 18.3145, 0.0157598, 0.0036826;
3155, 17.8534, 0.021201, 0.00501759;
3165, 16.2838, 0, 0;
3175, 16.879, 0.169863, 0.0413453;
3185, 16.6919, 0.0258665, 0.00633118;
3195, 17.2091, 0.155992, 0.037603;
3205, 17.3024, 1.32808, 0.319279;
3215, 15.2301, 0.0300889, 0.00771001;
3225, 16.2768, 0.0207341, 0.00513928;
3235, 15.9292, 0.0819607, 0.0205357;
3245, 15.5346, 0, 0;
3255, 14.847, 2.55938, 0.664227;
3265, 18.2251, 0.040852, 0.00956926;
3275, 15.6787, 0, 0;
3285, 15.2925, 0, 0;
3295, 14.4354, 1.86224, 0.490142;
3305, 14.7772, 0.0297259, 0.00773282;
3315, 14.0459, 0, 0;
3325, 14.1512, 0.282243, 0.0750287;
3335, 13.5063, 0, 0;
3345, 13.0481, 0, 0;
3355, 12.5005, 0.37863, 0.10709;
3365, 12.6802, 0, 0;
3375, 12.1456, 3.1028e-05, 8.90318e-06;
3385, 12.6613, 0.486055, 0.136599;
3395, 12.7706, 0, 0;
3405, 12.3349, 0, 0;
3415, 12.7619, 0.100178, 0.0280424;
3425, 12.4608, 0, 0;
3435, 11.6737, 0, 0;
3445, 11.3952, 0, 0;
3455, 11.1877, 0, 0;
3465, 11.1589, 0, 0;
3475, 10.6058, 0, 0;
3485, 10.1087, 0, 0;
3495, 10.3614, 0, 0;
3505, 10.8395, 0, 0;
