// x, y, n_BG, n_sig C1N1 1000, n_sig C1C1 1000 
4700, 7900, 4449.59+/-731.901, 1.83573+/-1.83573, 0.279219+/-1.83573;
4700, 8000, 3783.94+/-605.916, 1.83573+/-1.83573, 0.188611+/-1.83573;
4700, 8100, 3298.82+/-565.743, 1.83573+/-1.83573, 0+/-1.83573;
4700, 8200, 2813.7+/-522.491, 1.83573+/-1.83573, 0+/-1.83573;
4700, 8300, 2328.58+/-475.319, 1.83573+/-1.83573, 0+/-1.83573;
4700, 8400, 2231.56+/-465.311, 1.83573+/-1.83573, 0+/-1.83573;
4700, 8500, 2037.51+/-444.62, 1.83573+/-1.83573, 0+/-1.83573;
4700, 8600, 1940.48+/-433.905, 1.83573+/-1.83573, 0+/-1.83573;
4700, 8700, 1552.39+/-388.097, 1.83573+/-1.83573, 0+/-1.83573;
4700, 8800, 1455.36+/-375.773, 1.83573+/-1.83573, 0+/-1.83573;
4700, 8900, 1164.29+/-336.102, 1.83573+/-1.83573, 0+/-1.83573;
4700, 9000, 1067.27+/-321.793, 1.83573+/-1.83573, 0+/-1.83573;
4700, 9100, 582.145+/-237.66, 1.83573+/-1.83573, 0+/-1.83573;
4700, 9200, 582.145+/-237.66, 1.83573+/-1.83573, 0+/-1.83573;
4700, 9300, 388.097+/-194.048, 1.83573+/-1.83573, 0+/-1.83573;
4700, 9400, 388.097+/-194.048, 1.83573+/-1.83573, 0+/-1.83573;
4700, 9500, 194.048+/-137.213, 0+/-0, 0+/-0;
4700, 9600, 0+/-0, 0+/-0, 0+/-0;
4700, 9700, 0+/-0, 0+/-0, 0+/-0;
4700, 9800, 0+/-0, 0+/-0, 0+/-0;
4700, 9900, 0+/-0, 0+/-0, 0+/-0;
4700, 10000, 194.048+/-137.213, 0+/-0, 0+/-0;
4800, 1000, 523128+/-53157.4, 5.97411+/-2.39184, 1.81108+/-2.39184;
4800, 2000, 131871+/-4047.03, 5.97411+/-2.39184, 1.81108+/-2.39184;
4800, 3000, 109439+/-3519.53, 5.97411+/-2.39184, 1.8108+/-2.39184;
4800, 3100, 108722+/-3505.31, 5.9741+/-2.39184, 1.77368+/-2.39184;
4800, 3200, 107350+/-3486.45, 5.9741+/-2.39184, 1.77368+/-2.39184;
4800, 3300, 104967+/-3435.52, 5.9741+/-2.39184, 1.77368+/-2.39184;
4800, 3400, 104287+/-3425.92, 5.9741+/-2.39184, 1.77368+/-2.39184;
4800, 3500, 102892+/-3401.64, 5.9741+/-2.39184, 1.77368+/-2.39184;
4800, 3600, 101915+/-3387.77, 5.9741+/-2.39184, 1.77368+/-2.39184;
4800, 3700, 100195+/-3332, 5.9741+/-2.39184, 1.77368+/-2.39184;
4800, 3800, 98267.8+/-3288.05, 5.9741+/-2.39184, 1.77368+/-2.39184;
4800, 3900, 95951.2+/-3237.7, 5.9741+/-2.39184, 1.77368+/-2.39184;
4800, 4000, 93830.2+/-3189.51, 5.74014+/-2.38037, 1.77368+/-2.38037;
4800, 4100, 92859.4+/-3174.72, 5.74014+/-2.38037, 1.77368+/-2.38037;
4800, 4200, 91209.9+/-3149.41, 5.74014+/-2.38037, 1.77368+/-2.38037;
4800, 4300, 88214.6+/-3086.15, 5.60377+/-2.37646, 1.76462+/-2.37646;
4800, 4400, 86468.2+/-3058.58, 5.60377+/-2.37646, 1.7133+/-2.37646;
4800, 4500, 84818.8+/-3032.3, 5.60377+/-2.37646, 1.7133+/-2.37646;
4800, 4600, 80950.8+/-2952.23, 5.60377+/-2.37646, 1.71146+/-2.37646;
4800, 4700, 77166.9+/-2889.38, 4.95038+/-2.28492, 1.66728+/-2.28492;
4800, 4800, 72536.7+/-2773.33, 4.8999+/-2.28436, 1.66728+/-2.28436;
4800, 4900, 68730.6+/-2680.97, 4.8998+/-2.28436, 1.51222+/-2.28436;
4800, 5000, 64170.4+/-2597.14, 4.6572+/-2.27781, 1.51222+/-2.27781;
4800, 5100, 57780.4+/-2453.81, 4.57175+/-2.27621, 1.51222+/-2.27621;
4800, 5200, 53330.2+/-2342.12, 4.57175+/-2.27621, 1.33962+/-2.27621;
4800, 5300, 48589+/-2218.47, 4.57175+/-2.27621, 1.33283+/-2.27621;
4800, 5400, 44611.1+/-2129.7, 4.57175+/-2.27621, 1.33283+/-2.27621;
4800, 5500, 40536+/-2034.76, 4.30347+/-2.26034, 1.19081+/-2.26034;
4800, 5600, 36849.1+/-1944.88, 4.30347+/-2.26034, 1.19081+/-2.26034;
4800, 5700, 33065.2+/-1848.08, 4.27407+/-2.26015, 1.19079+/-2.26015;
4800, 5800, 30154.5+/-1770.03, 3.22671+/-2.00283, 1.08999+/-2.00283;
4800, 5900, 27631.8+/-1699.48, 3.22671+/-2.00283, 1.05442+/-2.00283;
4800, 6000, 25005.2+/-1622.97, 2.59919+/-1.90201, 0.885394+/-1.90201;
4800, 6100, 22870.6+/-1557.86, 2.59919+/-1.90201, 0.885394+/-1.90201;
4800, 6200, 20445+/-1480.4, 2.59369+/-1.902, 0.885394+/-1.902;
4800, 6300, 18504.6+/-1415.38, 2.59369+/-1.902, 0.873368+/-1.902;
