// x, y, n_BG, n_sig C1N1 1000, n_sig C1C1 1000 
3100, 4900, 82966.1, 5.10247, 1.91266;
3100, 5000, 75411.7, 4.76017, 1.91264;
3100, 5100, 67288.7, 4.57956, 1.91236;
3100, 5200, 61286.2, 4.57956, 1.67783;
3100, 5300, 54895.6, 4.57956, 1.67042;
3100, 5400, 49753.3, 4.57956, 1.67042;
3100, 5500, 45096.2, 4.31128, 1.51241;
3100, 5600, 40633.1, 4.31128, 1.5124;
3100, 5700, 36461, 4.28188, 1.51239;
3100, 5800, 32871.1, 3.22671, 1.41159;
3100, 5900, 29960.4, 3.22671, 1.37602;
3100, 6000, 27139.7, 2.59919, 1.20699;
3100, 6100, 24908.2, 2.59919, 1.20699;
3100, 6200, 21997.4, 2.59369, 1.20699;
3100, 6300, 19765.9, 2.59369, 1.19497;
3100, 6400, 18019.4, 2.59369, 1.19497;
3100, 6500, 16661.1, 2.59369, 0.951747;
3100, 6600, 15496.8, 2.59369, 0.951747;
3100, 6700, 14429.5, 2.18685, 0.873368;
3100, 6800, 13168.2, 2.18685, 0.873368;
3100, 6900, 11809.9, 2.18685, 0.762154;
3100, 7000, 10174, 1.90277, 0.762154;
3100, 7100, 9300.79, 1.8865, 0.762154;
3100, 7200, 8330.55, 1.8865, 0.762154;
3100, 7300, 7748.41, 1.8865, 0.593224;
3100, 7400, 6584.12, 1.8844, 0.32715;
3100, 7500, 6099, 1.8844, 0.32715;
3100, 7600, 5516.85, 1.8844, 0.279219;
3100, 7700, 5225.78, 1.83573, 0.279219;
3100, 7800, 4934.71, 1.83573, 0.279219;
3100, 7900, 4546.61, 1.83573, 0.279219;
3100, 8000, 3783.94, 1.83573, 0.188611;
3100, 8100, 3298.82, 1.83573, 0;
3100, 8200, 2813.7, 1.83573, 0;
3100, 8300, 2328.58, 1.83573, 0;
3100, 8400, 2231.56, 1.83573, 0;
3100, 8500, 2037.51, 1.83573, 0;
3100, 8600, 1940.48, 1.83573, 0;
3100, 8700, 1552.39, 1.83573, 0;
3100, 8800, 1455.36, 1.83573, 0;
3100, 8900, 1164.29, 1.83573, 0;
3100, 9000, 1067.27, 1.83573, 0;
3100, 9100, 582.145, 1.83573, 0;
3100, 9200, 582.145, 1.83573, 0;
3100, 9300, 388.097, 1.83573, 0;
3100, 9400, 388.097, 1.83573, 0;
3100, 9500, 194.048, 0, 0;
3100, 9600, 0, 0, 0;
3100, 9700, 0, 0, 0;
3100, 9800, 0, 0, 0;
3100, 9900, 0, 0, 0;
3100, 10000, 194.048, 0, 0;
3200, 1000, 2.49355e+06, 9.07884, 3.75589;
3200, 2000, 855559, 9.04732, 3.75261;
3200, 3000, 626119, 8.90817, 3.72188;
3200, 3100, 614233, 8.90765, 3.68476;
3200, 3200, 577865, 8.85336, 3.67213;
3200, 3300, 540592, 8.74344, 3.66594;
3200, 3400, 504080, 8.64102, 3.61767;
3200, 3500, 418652, 8.57281, 3.60562;
3200, 3600, 382120, 8.55528, 3.53031;
3200, 3700, 326195, 7.72852, 3.51508;
3200, 3800, 288990, 7.71452, 3.28282;
3200, 3900, 277541, 7.4819, 2.91431;
3200, 4000, 234614, 7.24781, 2.86288;
3200, 4100, 192838, 6.74089, 2.62175;
3200, 4200, 157088, 6.74003, 2.60811;
3200, 4300, 145266, 6.60086, 2.55973;
3200, 4400, 140331, 5.95911, 2.45801;
3200, 4500, 122844, 5.90008, 2.38715;
3200, 4600, 109289, 5.86943, 2.38108;
3200, 4700, 102946, 5.21604, 2.08971;
3200, 4800, 95224.9, 5.10257, 2.06775;
3200, 4900, 82480.9, 5.10247, 1.91265;
3200, 5000, 74926.6, 4.76017, 1.91264;
3200, 5100, 66803.6, 4.57956, 1.91235;
3200, 5200, 60801.1, 4.57956, 1.67782;
3200, 5300, 54410.5, 4.57956, 1.67041;
3200, 5400, 49365.2, 4.57956, 1.67041;
3200, 5500, 44708.1, 4.31128, 1.5124;
3200, 5600, 40342, 4.31128, 1.5124;
3200, 5700, 36267, 4.28188, 1.51239;
3200, 5800, 32677.1, 3.22671, 1.41159;
3200, 5900, 29863.4, 3.22671, 1.37602;
3200, 6000, 27042.7, 2.59919, 1.20699;
3200, 6100, 24811.1, 2.59919, 1.20699;
3200, 6200, 21997.4, 2.59369, 1.20699;
3200, 6300, 19765.9, 2.59369, 1.19497;
3200, 6400, 18019.4, 2.59369, 1.19497;
3200, 6500, 16661.1, 2.59369, 0.951747;
3200, 6600, 15496.8, 2.59369, 0.951747;
3200, 6700, 14429.5, 2.18685, 0.873368;
3200, 6800, 13168.2, 2.18685, 0.873368;
3200, 6900, 11809.9, 2.18685, 0.762154;
3200, 7000, 10174, 1.90277, 0.762154;
3200, 7100, 9300.79, 1.8865, 0.762154;
3200, 7200, 8330.55, 1.8865, 0.762154;
3200, 7300, 7748.41, 1.8865, 0.593224;
3200, 7400, 6584.12, 1.8844, 0.32715;
3200, 7500, 6099, 1.8844, 0.32715;
